
TEST CASES
case	period	kol_day	koef	pairings
83	09.05	27	0,95 	3
84	09.05	11	1,01 	3
85	09.05	1	1,02 	3
86	09.05	22	0,86 	3
87	09.05	92	0,86 	2
88	09.05	30	0,95 	2
89	09.05	85	0,7	3
90	09.05	6	1,02 	2
91	09.05	1	0,93	3
92	10.05 - 31.05	20	1,01 	3
93	10.05 - 31.05	11	0,8 	3
94	10.05 - 31.05	29	1,03 	3
95	10.05 - 31.05	31	1,02 	3
96	10.05 - 31.05	27	1,01 	3
97	10.05 - 31.05	11	0,95 	3
98	10.05 - 31.05	1	0,86 	3
99	10.05 - 31.05	22	1,02 	3
100	10.05 - 31.05	92	0,95 	2
101	10.05 - 31.05	30	0,86 	2
102	10.05 - 31.05	85	1,02 	2
103	10.05 - 31.05	6	0,7	3
104	10.05 - 31.05	1	1,1 	3
105	01.06 - 31.08	20	1,07 	3
106	01.06 - 31.08	11	1,02 	3
107	01.06 - 31.08	29	0,93	3
108	01.06 - 31.08	31	1,1 	3
109	01.06 - 31.08	27	0,7	3
110	01.06 - 31.08	11	1,02 	2
111	01.06 - 31.08	1	0,86 	2
112	01.06 - 31.08	22	0,95 	2
113	01.06 - 31.08	92	1,01 	3
114	01.06 - 31.08	30	1,02 	3
115	01.06 - 31.08	85	1,03 	3
116	01.06 - 31.08	6	0,8 	3
117	01.06 - 31.08	1	1,01 	3
118	01.09 - 30.09	20	1,02 	3
119	01.09 - 30.09	11	1,07 	3
120	01.09 - 30.09	29	1,1 	3
121	01.09 - 30.09	31	0,93	3
122	01.09 - 30.09	27	1,02 	2
123	01.09 - 30.09	11	0,7	3
124	01.09 - 30.09	1	0,95 	2
125	01.09 - 30.09	22	0,86 	2
126	01.09 - 30.09	92	1,02 	3
127	01.09 - 30.09	30	1,01 	3
128	01.09 - 30.09	85	0,8 	3
129	01.09 - 30.09	6	1,03 	3
130	01.09 - 30.09	1	1,01 	2
131	01.10 - 24.12	20	0,93	3
132	01.10 - 24.12	11	1,1 	3
133	01.10 - 24.12	29	1,07 	3
134	01.10 - 24.12	31	1,02 	3
135	01.10 - 24.12	27	0,86 	2
136	01.10 - 24.12	11	0,95 	2
137	01.10 - 24.12	1	0,7	3
138	01.10 - 24.12	22	1,02 	2
139	01.10 - 24.12	92	1,03 	3
140	01.10 - 24.12	30	0,8 	3
141	01.10 - 24.12	85	1,01 	3
142	01.10 - 24.12	6	1,02 	3
143	01.10 - 24.12	1	1,02 	2
144	25.12 - 30.12	20	1,1 	3
145	25.12 - 30.12	11	0,93	3
146	25.12 - 30.12	29	1,02 	3
147	25.12 - 30.12	31	1,07 	3
148	25.12 - 30.12	27	0,95 	2
149	25.12 - 30.12	11	0,86 	2
150	25.12 - 30.12	1	1,02 	2
151	25.12 - 30.12	22	0,7	3
152	25.12 - 30.12	92	0,8 	3
153	25.12 - 30.12	30	1,03 	3
154	25.12 - 30.12	85	1,02 	3
155	25.12 - 30.12	6	1,01 	3
156	25.12 - 30.12	1	1,03 	2
157	31.12	20	0,7	3
158	31.12	11	1,02 	2
159	31.12	29	0,86 	2
160	31.12	31	0,95 	2
161	31.12	27	1,07 	3
162	31.12	11	1,02 	3
163	31.12	1	0,93	3
164	31.12	22	1,1 	3
165	31.12	92	1,01 	3
166	31.12	30	1,01 	2
167	31.12	85	1,02 	2
168	31.12	6	1,03 	2
169	31.12	1	0,8 	3
170	21.01 - 31.01	11	0,7	2
171	01.02 - 29.02	29	0,7	2
172	01.03 - 31.03	31	0,7	2
173	01.04 - 27.04	27	1,02 	2
174	01.04 - 27.04	11	0,93	2
175	01.04 - 27.04	1	1,1 	2
176	28.04 - 08.05	27	0,93	2
177	28.04 - 08.05	11	1,07 	2
178	28.04 - 08.05	1	1,07 	1
179	28.04 - 08.05	22	1,02 	1
180	28.04 - 08.05	30	1,01 	1
181	28.04 - 08.05	85	1,1 	1
182	09.05	27	1,1 	2
183	09.05	11	1,07 	1
184	09.05	1	1,02 	2
185	10.05 - 31.05	11	1,02 	1
186	10.05 - 31.05	22	1,07 	2
187	10.05 - 31.05	85	1,01 	1
188	10.05 - 31.05	6	0,93	1
189	01.09 - 30.09	11	1,01 	1
190	01.10 - 24.12	11	1,1 	1
191	01.10 - 24.12	22	1,01 	1
192	25.12 - 30.12	22	0,93	1
193	25.12 - 30.12	6	1,01 	2

PAIRING DETAILS
var1	var2	value1	value2	appearances	cases
period	kol_day	01.01 - 20.01	20	1	1
period	kol_day	01.01 - 20.01	11	1	2
period	kol_day	01.01 - 20.01	29	1	3
period	kol_day	01.01 - 20.01	31	1	4
period	kol_day	01.01 - 20.01	27	1	5
period	kol_day	01.01 - 20.01	11	1	6
period	kol_day	01.01 - 20.01	1	1	7
period	kol_day	01.01 - 20.01	22	1	8
period	kol_day	01.01 - 20.01	92	1	9
period	kol_day	01.01 - 20.01	30	1	10
period	kol_day	01.01 - 20.01	85	1	11
period	kol_day	01.01 - 20.01	6	1	12
period	kol_day	01.01 - 20.01	1	1	13
period	kol_day	21.01 - 31.01	20	1	14
period	kol_day	21.01 - 31.01	11	2	15, 170
period	kol_day	21.01 - 31.01	29	1	16
period	kol_day	21.01 - 31.01	31	1	17
period	kol_day	21.01 - 31.01	27	1	18
period	kol_day	21.01 - 31.01	11	1	19
period	kol_day	21.01 - 31.01	1	1	20
period	kol_day	21.01 - 31.01	22	1	21
period	kol_day	21.01 - 31.01	92	1	22
period	kol_day	21.01 - 31.01	30	1	23
period	kol_day	21.01 - 31.01	85	1	24
period	kol_day	21.01 - 31.01	6	1	25
period	kol_day	21.01 - 31.01	1	1	26
period	kol_day	01.02 - 29.02	20	1	27
period	kol_day	01.02 - 29.02	11	1	28
period	kol_day	01.02 - 29.02	29	2	29, 171
period	kol_day	01.02 - 29.02	31	1	30
period	kol_day	01.02 - 29.02	27	1	31
period	kol_day	01.02 - 29.02	11	1	32
period	kol_day	01.02 - 29.02	1	1	33
period	kol_day	01.02 - 29.02	22	1	34
period	kol_day	01.02 - 29.02	92	1	35
period	kol_day	01.02 - 29.02	30	1	36
period	kol_day	01.02 - 29.02	85	1	37
period	kol_day	01.02 - 29.02	6	1	38
period	kol_day	01.02 - 29.02	1	1	39
period	kol_day	01.03 - 31.03	20	1	40
period	kol_day	01.03 - 31.03	11	1	41
period	kol_day	01.03 - 31.03	29	1	42
period	kol_day	01.03 - 31.03	31	2	43, 172
period	kol_day	01.03 - 31.03	27	1	44
period	kol_day	01.03 - 31.03	11	1	45
period	kol_day	01.03 - 31.03	1	1	46
period	kol_day	01.03 - 31.03	22	1	47
period	kol_day	01.03 - 31.03	92	1	48
period	kol_day	01.03 - 31.03	30	1	49
period	kol_day	01.03 - 31.03	85	1	50
period	kol_day	01.03 - 31.03	6	1	51
period	kol_day	01.03 - 31.03	1	1	52
period	kol_day	01.04 - 27.04	20	1	53
period	kol_day	01.04 - 27.04	11	1	54
period	kol_day	01.04 - 27.04	29	1	55
period	kol_day	01.04 - 27.04	31	1	56
period	kol_day	01.04 - 27.04	27	2	57, 173
period	kol_day	01.04 - 27.04	11	2	58, 174
period	kol_day	01.04 - 27.04	1	2	59, 175
period	kol_day	01.04 - 27.04	22	1	60
period	kol_day	01.04 - 27.04	92	1	61
period	kol_day	01.04 - 27.04	30	1	62
period	kol_day	01.04 - 27.04	85	1	63
period	kol_day	01.04 - 27.04	6	1	64
period	kol_day	01.04 - 27.04	1	1	65
period	kol_day	28.04 - 08.05	20	1	66
period	kol_day	28.04 - 08.05	11	1	67
period	kol_day	28.04 - 08.05	29	1	68
period	kol_day	28.04 - 08.05	31	1	69
period	kol_day	28.04 - 08.05	27	2	70, 176
period	kol_day	28.04 - 08.05	11	2	71, 177
period	kol_day	28.04 - 08.05	1	2	72, 178
period	kol_day	28.04 - 08.05	22	2	73, 179
period	kol_day	28.04 - 08.05	92	1	74
period	kol_day	28.04 - 08.05	30	2	75, 180
period	kol_day	28.04 - 08.05	85	2	76, 181
period	kol_day	28.04 - 08.05	6	1	77
period	kol_day	28.04 - 08.05	1	1	78
period	kol_day	09.05	20	1	79
period	kol_day	09.05	11	1	80
period	kol_day	09.05	29	1	81
period	kol_day	09.05	31	1	82
period	kol_day	09.05	27	2	83, 182
period	kol_day	09.05	11	2	84, 183
period	kol_day	09.05	1	2	85, 184
period	kol_day	09.05	22	1	86
period	kol_day	09.05	92	1	87
period	kol_day	09.05	30	1	88
period	kol_day	09.05	85	1	89
period	kol_day	09.05	6	1	90
period	kol_day	09.05	1	1	91
period	kol_day	10.05 - 31.05	20	1	92
period	kol_day	10.05 - 31.05	11	1	93
period	kol_day	10.05 - 31.05	29	1	94
period	kol_day	10.05 - 31.05	31	1	95
period	kol_day	10.05 - 31.05	27	1	96
period	kol_day	10.05 - 31.05	11	2	97, 185
period	kol_day	10.05 - 31.05	1	1	98
period	kol_day	10.05 - 31.05	22	2	99, 186
period	kol_day	10.05 - 31.05	92	1	100
period	kol_day	10.05 - 31.05	30	1	101
period	kol_day	10.05 - 31.05	85	2	102, 187
period	kol_day	10.05 - 31.05	6	2	103, 188
period	kol_day	10.05 - 31.05	1	1	104
period	kol_day	01.06 - 31.08	20	1	105
period	kol_day	01.06 - 31.08	11	1	106
period	kol_day	01.06 - 31.08	29	1	107
period	kol_day	01.06 - 31.08	31	1	108
period	kol_day	01.06 - 31.08	27	1	109
period	kol_day	01.06 - 31.08	11	1	110
period	kol_day	01.06 - 31.08	1	1	111
period	kol_day	01.06 - 31.08	22	1	112
period	kol_day	01.06 - 31.08	92	1	113
period	kol_day	01.06 - 31.08	30	1	114
period	kol_day	01.06 - 31.08	85	1	115
period	kol_day	01.06 - 31.08	6	1	116
period	kol_day	01.06 - 31.08	1	1	117
period	kol_day	01.09 - 30.09	20	1	118
period	kol_day	01.09 - 30.09	11	1	119
period	kol_day	01.09 - 30.09	29	1	120
period	kol_day	01.09 - 30.09	31	1	121
period	kol_day	01.09 - 30.09	27	1	122
period	kol_day	01.09 - 30.09	11	2	123, 189
period	kol_day	01.09 - 30.09	1	1	124
period	kol_day	01.09 - 30.09	22	1	125
period	kol_day	01.09 - 30.09	92	1	126
period	kol_day	01.09 - 30.09	30	1	127
period	kol_day	01.09 - 30.09	85	1	128
period	kol_day	01.09 - 30.09	6	1	129
period	kol_day	01.09 - 30.09	1	1	130
period	kol_day	01.10 - 24.12	20	1	131
period	kol_day	01.10 - 24.12	11	1	132
period	kol_day	01.10 - 24.12	29	1	133
period	kol_day	01.10 - 24.12	31	1	134
period	kol_day	01.10 - 24.12	27	1	135
period	kol_day	01.10 - 24.12	11	2	136, 190
period	kol_day	01.10 - 24.12	1	1	137
period	kol_day	01.10 - 24.12	22	2	138, 191
period	kol_day	01.10 - 24.12	92	1	139
period	kol_day	01.10 - 24.12	30	1	140
period	kol_day	01.10 - 24.12	85	1	141
period	kol_day	01.10 - 24.12	6	1	142
period	kol_day	01.10 - 24.12	1	1	143
period	kol_day	25.12 - 30.12	20	1	144
period	kol_day	25.12 - 30.12	11	1	145
period	kol_day	25.12 - 30.12	29	1	146
period	kol_day	25.12 - 30.12	31	1	147
period	kol_day	25.12 - 30.12	27	1	148
period	kol_day	25.12 - 30.12	11	1	149
period	kol_day	25.12 - 30.12	1	1	150
period	kol_day	25.12 - 30.12	22	2	151, 192
period	kol_day	25.12 - 30.12	92	1	152
period	kol_day	25.12 - 30.12	30	1	153
period	kol_day	25.12 - 30.12	85	1	154
period	kol_day	25.12 - 30.12	6	2	155, 193
period	kol_day	25.12 - 30.12	1	1	156
period	kol_day	31.12	20	1	157
period	kol_day	31.12	11	1	158
period	kol_day	31.12	29	1	159
period	kol_day	31.12	31	1	160
period	kol_day	31.12	27	1	161
period	kol_day	31.12	11	1	162
period	kol_day	31.12	1	1	163
period	kol_day	31.12	22	1	164
period	kol_day	31.12	92	1	165
period	kol_day	31.12	30	1	166
period	kol_day	31.12	85	1	167
period	kol_day	31.12	6	1	168
period	kol_day	31.12	1	1	169
period	koef	01.01 - 20.01	1,02 	1	1
period	koef	01.01 - 20.01	0,86 	1	2
period	koef	01.01 - 20.01	0,95 	1	3
period	koef	01.01 - 20.01	1,01 	1	4
period	koef	01.01 - 20.01	1,02 	1	5
period	koef	01.01 - 20.01	1,03 	1	6
period	koef	01.01 - 20.01	0,8 	1	7
period	koef	01.01 - 20.01	1,01 	1	8
period	koef	01.01 - 20.01	1,07 	1	9
period	koef	01.01 - 20.01	1,02 	1	10
period	koef	01.01 - 20.01	0,93	1	11
period	koef	01.01 - 20.01	1,1 	1	12
period	koef	01.01 - 20.01	0,7	1	13
period	koef	21.01 - 31.01	1,02 	2	15, 26
period	koef	21.01 - 31.01	0,86 	1	14
period	koef	21.01 - 31.01	0,95 	1	17
period	koef	21.01 - 31.01	1,01 	1	16
period	koef	21.01 - 31.01	1,02 	1	19
period	koef	21.01 - 31.01	1,03 	1	18
period	koef	21.01 - 31.01	0,8 	1	21
period	koef	21.01 - 31.01	1,01 	1	20
period	koef	21.01 - 31.01	1,07 	1	23
period	koef	21.01 - 31.01	1,02 	1	22
period	koef	21.01 - 31.01	0,93	1	25
period	koef	21.01 - 31.01	1,1 	1	24
period	koef	21.01 - 31.01	0,7	1	170
period	koef	01.02 - 29.02	1,02 	1	29
period	koef	01.02 - 29.02	0,86 	2	30, 39
period	koef	01.02 - 29.02	0,95 	1	27
period	koef	01.02 - 29.02	1,01 	1	28
period	koef	01.02 - 29.02	1,02 	1	33
period	koef	01.02 - 29.02	1,03 	1	34
period	koef	01.02 - 29.02	0,8 	1	31
period	koef	01.02 - 29.02	1,01 	1	32
period	koef	01.02 - 29.02	1,07 	1	37
period	koef	01.02 - 29.02	1,02 	1	38
period	koef	01.02 - 29.02	0,93	1	35
period	koef	01.02 - 29.02	1,1 	1	36
period	koef	01.02 - 29.02	0,7	1	171
period	koef	01.03 - 31.03	1,02 	1	43
period	koef	01.03 - 31.03	0,86 	1	42
period	koef	01.03 - 31.03	0,95 	2	41, 52
period	koef	01.03 - 31.03	1,01 	1	40
period	koef	01.03 - 31.03	1,02 	1	47
period	koef	01.03 - 31.03	1,03 	1	46
period	koef	01.03 - 31.03	0,8 	1	45
period	koef	01.03 - 31.03	1,01 	1	44
period	koef	01.03 - 31.03	1,07 	1	51
period	koef	01.03 - 31.03	1,02 	1	50
period	koef	01.03 - 31.03	0,93	1	49
period	koef	01.03 - 31.03	1,1 	1	48
period	koef	01.03 - 31.03	0,7	1	172
period	koef	01.04 - 27.04	1,02 	2	57, 62
period	koef	01.04 - 27.04	0,86 	2	58, 63
period	koef	01.04 - 27.04	0,95 	2	59, 64
period	koef	01.04 - 27.04	1,01 	1	60
period	koef	01.04 - 27.04	1,02 	1	53
period	koef	01.04 - 27.04	1,03 	1	54
period	koef	01.04 - 27.04	0,8 	1	55
period	koef	01.04 - 27.04	1,01 	1	56
period	koef	01.04 - 27.04	1,07 	1	65
period	koef	01.04 - 27.04	1,02 	1	173
period	koef	01.04 - 27.04	0,93	1	174
period	koef	01.04 - 27.04	1,1 	1	175
period	koef	01.04 - 27.04	0,7	1	61
period	koef	28.04 - 08.05	1,02 	2	71, 74
period	koef	28.04 - 08.05	0,86 	2	70, 77
period	koef	28.04 - 08.05	0,95 	2	73, 76
period	koef	28.04 - 08.05	1,01 	1	72
period	koef	28.04 - 08.05	1,02 	1	67
period	koef	28.04 - 08.05	1,03 	1	66
period	koef	28.04 - 08.05	0,8 	1	69
period	koef	28.04 - 08.05	1,01 	2	68, 180
period	koef	28.04 - 08.05	1,07 	2	177, 178
period	koef	28.04 - 08.05	1,02 	2	78, 179
period	koef	28.04 - 08.05	0,93	1	176
period	koef	28.04 - 08.05	1,1 	1	181
period	koef	28.04 - 08.05	0,7	1	75
period	koef	09.05	1,02 	2	85, 90
period	koef	09.05	0,86 	2	86, 87
period	koef	09.05	0,95 	2	83, 88
period	koef	09.05	1,01 	1	84
period	koef	09.05	1,02 	1	81
period	koef	09.05	1,03 	1	82
period	koef	09.05	0,8 	1	79
period	koef	09.05	1,01 	1	80
period	koef	09.05	1,07 	1	183
period	koef	09.05	1,02 	1	184
period	koef	09.05	0,93	1	91
period	koef	09.05	1,1 	1	182
period	koef	09.05	0,7	1	89
period	koef	10.05 - 31.05	1,02 	2	99, 102
period	koef	10.05 - 31.05	0,86 	2	98, 101
period	koef	10.05 - 31.05	0,95 	2	97, 100
period	koef	10.05 - 31.05	1,01 	1	96
period	koef	10.05 - 31.05	1,02 	1	95
period	koef	10.05 - 31.05	1,03 	1	94
period	koef	10.05 - 31.05	0,8 	1	93
period	koef	10.05 - 31.05	1,01 	2	92, 187
period	koef	10.05 - 31.05	1,07 	1	186
period	koef	10.05 - 31.05	1,02 	1	185
period	koef	10.05 - 31.05	0,93	1	188
period	koef	10.05 - 31.05	1,1 	1	104
period	koef	10.05 - 31.05	0,7	1	103
period	koef	01.06 - 31.08	1,02 	1	110
period	koef	01.06 - 31.08	0,86 	1	111
period	koef	01.06 - 31.08	0,95 	1	112
period	koef	01.06 - 31.08	1,01 	1	113
period	koef	01.06 - 31.08	1,02 	1	114
period	koef	01.06 - 31.08	1,03 	1	115
period	koef	01.06 - 31.08	0,8 	1	116
period	koef	01.06 - 31.08	1,01 	1	117
period	koef	01.06 - 31.08	1,07 	1	105
period	koef	01.06 - 31.08	1,02 	1	106
period	koef	01.06 - 31.08	0,93	1	107
period	koef	01.06 - 31.08	1,1 	1	108
period	koef	01.06 - 31.08	0,7	1	109
period	koef	01.09 - 30.09	1,02 	1	122
period	koef	01.09 - 30.09	0,86 	1	125
period	koef	01.09 - 30.09	0,95 	1	124
period	koef	01.09 - 30.09	1,01 	2	127, 130
period	koef	01.09 - 30.09	1,02 	1	126
period	koef	01.09 - 30.09	1,03 	1	129
period	koef	01.09 - 30.09	0,8 	1	128
period	koef	01.09 - 30.09	1,01 	1	189
period	koef	01.09 - 30.09	1,07 	1	119
period	koef	01.09 - 30.09	1,02 	1	118
period	koef	01.09 - 30.09	0,93	1	121
period	koef	01.09 - 30.09	1,1 	1	120
period	koef	01.09 - 30.09	0,7	1	123
period	koef	01.10 - 24.12	1,02 	1	138
period	koef	01.10 - 24.12	0,86 	1	135
period	koef	01.10 - 24.12	0,95 	1	136
period	koef	01.10 - 24.12	1,01 	1	141
period	koef	01.10 - 24.12	1,02 	2	142, 143
period	koef	01.10 - 24.12	1,03 	1	139
period	koef	01.10 - 24.12	0,8 	1	140
period	koef	01.10 - 24.12	1,01 	1	191
period	koef	01.10 - 24.12	1,07 	1	133
period	koef	01.10 - 24.12	1,02 	1	134
period	koef	01.10 - 24.12	0,93	1	131
period	koef	01.10 - 24.12	1,1 	2	132, 190
period	koef	01.10 - 24.12	0,7	1	137
period	koef	25.12 - 30.12	1,02 	1	150
period	koef	25.12 - 30.12	0,86 	1	149
period	koef	25.12 - 30.12	0,95 	1	148
period	koef	25.12 - 30.12	1,01 	1	155
period	koef	25.12 - 30.12	1,02 	1	154
period	koef	25.12 - 30.12	1,03 	2	153, 156
period	koef	25.12 - 30.12	0,8 	1	152
period	koef	25.12 - 30.12	1,01 	1	193
period	koef	25.12 - 30.12	1,07 	1	147
period	koef	25.12 - 30.12	1,02 	1	146
period	koef	25.12 - 30.12	0,93	2	145, 192
period	koef	25.12 - 30.12	1,1 	1	144
period	koef	25.12 - 30.12	0,7	1	151
period	koef	31.12	1,02 	1	158
period	koef	31.12	0,86 	1	159
period	koef	31.12	0,95 	1	160
period	koef	31.12	1,01 	1	166
period	koef	31.12	1,02 	1	167
period	koef	31.12	1,03 	1	168
period	koef	31.12	0,8 	1	169
period	koef	31.12	1,01 	1	165
period	koef	31.12	1,07 	1	161
period	koef	31.12	1,02 	1	162
period	koef	31.12	0,93	1	163
period	koef	31.12	1,1 	1	164
period	koef	31.12	0,7	1	157
kol_day	koef	20	1,02 	1	1
kol_day	koef	20	0,86 	1	14
kol_day	koef	20	0,95 	1	27
kol_day	koef	20	1,01 	1	40
kol_day	koef	20	1,02 	1	53
kol_day	koef	20	1,03 	1	66
kol_day	koef	20	0,8 	1	79
kol_day	koef	20	1,01 	1	92
kol_day	koef	20	1,07 	1	105
kol_day	koef	20	1,02 	1	118
kol_day	koef	20	0,93	1	131
kol_day	koef	20	1,1 	1	144
kol_day	koef	20	0,7	1	157
kol_day	koef	11	1,02 	2	15, 158
kol_day	koef	11	0,86 	1	2
kol_day	koef	11	0,95 	1	41
kol_day	koef	11	1,01 	1	28
kol_day	koef	11	1,02 	1	67
kol_day	koef	11	1,03 	1	54
kol_day	koef	11	0,8 	1	93
kol_day	koef	11	1,01 	1	80
kol_day	koef	11	1,07 	1	119
kol_day	koef	11	1,02 	1	106
kol_day	koef	11	0,93	1	145
kol_day	koef	11	1,1 	1	132
kol_day	koef	11	0,7	1	170
kol_day	koef	29	1,02 	1	29
kol_day	koef	29	0,86 	2	42, 159
kol_day	koef	29	0,95 	1	3
kol_day	koef	29	1,01 	1	16
kol_day	koef	29	1,02 	1	81
kol_day	koef	29	1,03 	1	94
kol_day	koef	29	0,8 	1	55
kol_day	koef	29	1,01 	1	68
kol_day	koef	29	1,07 	1	133
kol_day	koef	29	1,02 	1	146
kol_day	koef	29	0,93	1	107
kol_day	koef	29	1,1 	1	120
kol_day	koef	29	0,7	1	171
kol_day	koef	31	1,02 	1	43
kol_day	koef	31	0,86 	1	30
kol_day	koef	31	0,95 	2	17, 160
kol_day	koef	31	1,01 	1	4
kol_day	koef	31	1,02 	1	95
kol_day	koef	31	1,03 	1	82
kol_day	koef	31	0,8 	1	69
kol_day	koef	31	1,01 	1	56
kol_day	koef	31	1,07 	1	147
kol_day	koef	31	1,02 	1	134
kol_day	koef	31	0,93	1	121
kol_day	koef	31	1,1 	1	108
kol_day	koef	31	0,7	1	172
kol_day	koef	27	1,02 	2	57, 122
kol_day	koef	27	0,86 	2	70, 135
kol_day	koef	27	0,95 	2	83, 148
kol_day	koef	27	1,01 	1	96
kol_day	koef	27	1,02 	1	5
kol_day	koef	27	1,03 	1	18
kol_day	koef	27	0,8 	1	31
kol_day	koef	27	1,01 	1	44
kol_day	koef	27	1,07 	1	161
kol_day	koef	27	1,02 	1	173
kol_day	koef	27	0,93	1	176
kol_day	koef	27	1,1 	1	182
kol_day	koef	27	0,7	1	109
kol_day	koef	11	1,02 	2	71, 110
kol_day	koef	11	0,86 	2	58, 149
kol_day	koef	11	0,95 	2	97, 136
kol_day	koef	11	1,01 	1	84
kol_day	koef	11	1,02 	1	19
kol_day	koef	11	1,03 	1	6
kol_day	koef	11	0,8 	1	45
kol_day	koef	11	1,01 	2	32, 189
kol_day	koef	11	1,07 	2	177, 183
kol_day	koef	11	1,02 	2	162, 185
kol_day	koef	11	0,93	1	174
kol_day	koef	11	1,1 	1	190
kol_day	koef	11	0,7	1	123
kol_day	koef	1	1,02 	2	85, 150
kol_day	koef	1	0,86 	2	98, 111
kol_day	koef	1	0,95 	2	59, 124
kol_day	koef	1	1,01 	1	72
kol_day	koef	1	1,02 	1	33
kol_day	koef	1	1,03 	1	46
kol_day	koef	1	0,8 	1	7
kol_day	koef	1	1,01 	1	20
kol_day	koef	1	1,07 	1	178
kol_day	koef	1	1,02 	1	184
kol_day	koef	1	0,93	1	163
kol_day	koef	1	1,1 	1	175
kol_day	koef	1	0,7	1	137
kol_day	koef	22	1,02 	2	99, 138
kol_day	koef	22	0,86 	2	86, 125
kol_day	koef	22	0,95 	2	73, 112
kol_day	koef	22	1,01 	1	60
kol_day	koef	22	1,02 	1	47
kol_day	koef	22	1,03 	1	34
kol_day	koef	22	0,8 	1	21
kol_day	koef	22	1,01 	2	8, 191
kol_day	koef	22	1,07 	1	186
kol_day	koef	22	1,02 	1	179
kol_day	koef	22	0,93	1	192
kol_day	koef	22	1,1 	1	164
kol_day	koef	22	0,7	1	151
kol_day	koef	92	1,02 	1	74
kol_day	koef	92	0,86 	1	87
kol_day	koef	92	0,95 	1	100
kol_day	koef	92	1,01 	1	113
kol_day	koef	92	1,02 	1	126
kol_day	koef	92	1,03 	1	139
kol_day	koef	92	0,8 	1	152
kol_day	koef	92	1,01 	1	165
kol_day	koef	92	1,07 	1	9
kol_day	koef	92	1,02 	1	22
kol_day	koef	92	0,93	1	35
kol_day	koef	92	1,1 	1	48
kol_day	koef	92	0,7	1	61
kol_day	koef	30	1,02 	1	62
kol_day	koef	30	0,86 	1	101
kol_day	koef	30	0,95 	1	88
